time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
15.950281,0.165448,-0.179994,1.058887
15.990277,0.159779,-0.160724,0.921163
16.020279,0.145312,-0.178722,0.733018
16.050276,0.121576,-0.212751,0.668729
16.080274,0.121084,-0.238270,0.533962
16.110272,0.130165,-0.188074,0.307721
16.150271,0.115601,-0.207122,0.088585
16.190268,0.097621,-0.214568,0.137698
16.220267,0.158894,-0.212494,-0.025780
16.250264,0.116221,-0.195317,-0.073757
16.290263,0.101312,-0.194216,-0.075884
16.310242,0.150236,-0.224185,-0.058965
16.360259,0.140153,-0.190121,0.089741
16.390257,0.118662,-0.235908,0.077741
16.420256,0.037767,-0.245330,0.096941
16.450253,0.111264,-0.248700,0.110795
16.490233,0.076903,-0.251776,0.017830
16.520249,0.081812,-0.199451,-0.181686
16.550248,0.055987,-0.172681,-0.303338
16.580246,0.048472,-0.188654,-0.305561
16.630244,0.021647,-0.154426,-0.414350
16.660242,0.042350,-0.167175,-0.597132
16.690241,0.037172,-0.106387,-0.619234
16.720239,0.053879,-0.117037,-0.716527
16.750220,0.005007,-0.028410,-0.784410
16.790235,0.002847,-0.005999,-0.820614
16.810235,0.055383,0.038623,-0.750931
16.850231,0.058730,0.049258,-0.712409
16.890220,0.109724,0.138588,-0.498237
16.920219,0.122518,0.089489,-0.435471
16.960217,0.108153,0.149166,-0.324019
16.980216,0.169610,0.129877,-0.401069
17.010204,0.098820,0.188614,-0.286404
17.050214,0.180987,0.194799,-0.232966
17.090218,0.050604,0.139354,0.381127
17.120217,0.112535,0.114827,0.112793
17.160213,0.114352,0.226701,0.234144
17.190212,0.109266,0.144539,0.408922
17.220206,0.141484,0.140154,0.506120
17.250209,0.126431,0.166880,0.426136
17.290190,0.147493,0.130603,0.390672
17.320191,0.036481,-0.072663,0.178025
17.350202,-0.003109,0.185246,0.524566
17.380200,0.093454,0.032722,0.236288
17.420183,0.101030,0.120153,0.175865
17.450182,0.213968,0.107085,0.216367
17.500176,0.099853,0.107198,0.509154
17.530190,0.090465,0.087987,0.596665
17.560163,0.160411,0.040949,0.541898
17.590161,0.113194,-0.043152,0.516872
17.620172,0.078391,-0.011128,0.590781
17.650168,0.142917,-0.044271,0.488011
17.680180,0.177828,-0.073113,0.446174
17.720183,0.173389,-0.106141,0.424624
17.750151,0.158294,-0.095409,0.348826
17.780156,0.171866,-0.155129,0.328193
17.830160,0.138725,-0.116632,0.238662
17.850151,0.101074,-0.145284,0.143420
17.890152,0.030069,-0.185538,-0.054450
17.920170,0.064094,-0.246408,0.000767
17.950153,0.030943,-0.215376,-0.083463
17.980168,0.134607,-0.231498,-0.291927
18.020166,0.099576,-0.168502,-0.330037
18.050165,0.062364,-0.099092,-0.392686
18.080163,0.020545,-0.119217,-0.467579
18.120140,0.096346,-0.081020,-0.443881
18.160138,0.036624,-0.056511,-0.148836
18.190137,0.086312,-0.074698,-0.246178
18.220136,0.011018,0.005423,-0.238240
18.250148,0.063730,0.004324,-0.412418
18.290152,0.115386,0.053360,-0.641881
18.320150,0.058851,0.073771,-0.700521
18.350149,0.074927,0.105718,-0.702486
18.390146,0.051194,0.172848,-0.527952
18.420144,0.206555,0.210914,-0.602572
18.450143,0.114755,0.269652,-0.392808
18.480141,0.128132,0.312190,-0.241924
18.510139,0.167730,0.284334,-0.141651
18.550137,0.192106,0.327857,0.125698
18.580135,0.153240,0.351324,0.275421
18.620126,0.171334,0.294575,0.695012
18.650103,0.158127,0.251833,0.956553
18.680101,0.138956,0.195343,1.020355
18.730128,0.186276,0.109824,1.277374
18.760126,0.159505,0.067242,1.276078
18.780124,0.218574,-0.028801,1.201812
18.820123,0.112103,-0.056295,1.234808
18.850120,0.225037,-0.118254,0.974804
18.880119,0.146530,-0.081857,1.027378
18.910118,0.193167,-0.186287,0.722280
18.950111,0.204794,-0.207633,0.718955
19.000081,0.190496,-0.226726,0.588501
19.020082,0.193617,-0.181920,0.511817
19.060107,0.246620,-0.334537,0.611401
19.080106,0.239531,-0.354848,0.756602
19.120104,0.228436,-0.458043,0.371390
19.150102,0.214102,-0.332061,0.060095
19.180101,0.073571,-0.347747,0.083548
19.210098,0.158428,-0.360510,-0.365297
19.240092,0.103280,-0.263354,-0.405351
19.280095,0.126900,-0.300598,-0.652377
19.330089,0.185523,-0.149271,-0.807555
19.360086,0.069539,-0.138355,-0.795714
19.390086,0.118974,-0.068140,-0.724821
19.420085,0.073461,-0.051015,-0.654198
19.450084,0.027686,0.063047,-0.428114
19.480082,-0.072441,0.023812,-0.396252
19.510082,0.180983,-0.045030,-0.311214
19.550078,0.102313,0.075488,-0.055170
19.590078,0.109994,0.097834,-0.004831
19.620076,0.037251,0.100012,0.234534
19.650057,0.155758,0.091159,0.351989
19.680072,0.143378,0.092188,0.483418
19.710071,0.083922,0.019760,0.624072
19.750070,0.087632,0.003666,0.815237
19.790054,0.135192,-0.089184,0.805099
19.820048,0.112936,-0.093418,0.844615
19.850052,0.167730,-0.169182,0.741613
19.890062,0.088893,-0.160463,0.716036
19.920059,0.162097,-0.220144,0.341728
19.960057,0.074512,-0.218835,0.247732
19.990057,0.096221,-0.228377,0.041460
20.020030,0.149841,-0.266786,-0.141471
20.050053,0.115187,-0.212212,-0.399731
20.090045,0.110437,-0.138519,-0.649345
20.120049,0.120942,-0.123586,-0.714442
20.150048,0.064751,-0.085098,-0.678958
20.180046,0.136491,-0.013858,-0.627297
20.220023,-0.085144,-0.022039,-0.318503
20.250020,0.029971,0.021415,-0.327908
20.290017,0.026511,0.066092,-0.112900
