time_tick,acc_X_value,acc_Y_value,acc_Z_value
11.144198,0.226559,-3.854952,-9.802212
11.177524,-1.111398,0.120612,-11.350268
11.211087,0.803583,-4.324083,-7.285666
11.244093,0.605455,-3.954165,-8.235899
11.278050,0.461648,-1.898370,-9.604683
11.310790,-0.716042,-4.919063,-7.820490
11.344701,-0.166104,-3.123797,-10.768606
11.377491,0.137672,-2.544529,-10.621806
11.410854,-1.459617,-0.369468,-9.251526
11.444137,-0.099662,-2.885864,-8.781647
11.478052,0.140664,-4.048740,-7.955019
11.511385,0.193937,-3.473512,-8.939370
11.544138,0.225063,-5.886355,-10.619112
11.577570,-0.981059,-2.912650,-5.554297
11.610554,-1.502266,-4.445144,-9.021674
11.644100,0.316794,-3.530825,-9.412691
11.678051,1.092992,-2.919983,-11.324230
11.711071,0.856856,-5.653660,-8.064558
11.744331,-0.613985,-3.650091,-9.701951
11.778125,0.611591,-3.780130,-8.104363
11.810852,-0.823635,-3.855251,-8.172750
11.844343,1.924558,-3.641411,-7.959808
11.878116,0.553380,-3.635126,-9.682198
11.910778,-0.133930,-0.759887,-8.772668
11.944744,0.332507,-3.763370,-8.834321
11.977839,-0.831715,-3.123647,-8.494931
12.010708,-0.635683,-1.510646,-9.334727
12.044304,-0.097418,-4.671404,-9.740858
12.078379,-0.514024,-4.484350,-8.562569
12.110598,-0.243020,-1.625871,-8.183524
12.144268,0.591688,-2.273825,-8.868290
12.178118,-0.735794,-4.226216,-8.928446
12.210531,-0.522852,-4.630701,-8.373271
12.244688,-0.006435,-4.084804,-7.803431
12.277665,-0.727115,-4.218584,-8.372373
12.310905,-0.706614,-3.508379,-9.185533
12.344239,0.882744,-4.227713,-8.484605
12.377561,-0.656783,-5.766641,-8.624222
12.410983,-0.435311,-5.333574,-7.796996
12.444685,-0.373509,-2.029458,-7.909378
12.477649,-0.077365,-2.037538,-10.795242
12.510973,-1.389135,-4.910833,-8.813521
12.544235,1.455727,-4.866389,-7.512226
12.577683,1.150455,-6.871155,-9.490356
12.610421,0.917611,-2.634464,-9.887658
12.644330,-0.606204,-1.801402,-9.667982
12.677700,-1.293364,-1.914382,-8.097329
12.711358,1.781350,-2.600196,-9.016137
12.744134,1.314763,-7.477209,-7.535570
12.777722,1.575591,-4.161870,-7.488732
12.811431,-0.596177,-4.048740,-10.269247
12.844303,-0.408825,-3.022189,-9.972056
12.878269,4.029585,-7.480801,-6.993563
12.911037,1.015926,-6.026271,-6.356832
12.944396,1.349181,-5.189168,-10.499248
12.977748,-2.020928,-3.472016,-8.843150
13.011105,1.098379,-3.011714,-8.351274
13.044243,-0.566698,-2.319166,-7.533625
13.077914,0.629548,-5.286436,-11.456365
13.110384,0.897558,-4.515027,-9.305696
13.144453,1.414425,-1.831779,-12.179140
13.177920,0.906387,-1.911090,-9.191219
13.210690,-0.372012,-3.060049,-8.904952
13.244456,0.785925,-2.815831,-10.142949
13.278368,0.948437,-3.391957,-8.779252
13.310516,-0.048933,-4.056222,-10.205799
13.344487,-2.259459,-1.490893,-11.268114
13.377987,1.389135,-3.359484,-7.600216
13.410517,0.174783,-6.679612,-8.355314
13.444346,-0.484394,-1.734062,-12.235855
13.478235,-0.965796,-2.467163,-10.892211
13.510432,0.987195,-5.228525,-10.072616
13.544126,-1.440014,-3.066932,-5.234810
13.578080,0.554427,-3.240967,-7.123304
13.611043,-0.420197,-1.401107,-10.545638
13.644709,-0.423938,-4.297895,-7.272797
13.678105,1.280644,-2.936892,-8.278397
13.711238,0.955770,-3.350655,-7.812709
13.744186,-0.188400,-3.325814,-7.733248
13.778011,0.520159,-1.108256,-13.175912
13.817601,-0.990636,-5.210418,-11.470730
13.844405,1.381653,-5.546516,-7.204111
13.878048,-0.373808,-0.084698,-12.006452
13.911383,-0.609047,-2.870002,-9.111460
13.944559,0.156227,-7.116719,-9.413888
13.978105,-1.305635,-3.532621,-8.666122
14.011159,0.048035,-2.247637,-8.018168
14.044384,1.843003,-4.198233,-6.463528
14.078066,0.673393,-4.627708,-11.345180
14.110820,0.004639,-2.820470,-9.175058
14.144395,-0.406730,-2.478386,-6.848858
14.178125,-0.204562,-2.107122,-9.954847
14.210698,0.408675,-3.097010,-9.674417
14.244491,-0.564902,-2.563982,-10.513016
14.278108,0.553978,-3.448671,-6.103337
14.310611,-0.319338,-3.262516,-7.577470
14.344453,-0.012121,-6.513808,-8.232906
14.378119,-0.503848,-3.643357,-11.321686
14.410501,0.087840,-2.709435,-11.710608
14.444479,-2.092906,-3.879344,-5.186625
14.478230,-0.726367,-2.996600,-13.431352
14.510436,0.623712,-2.869404,-11.652247
14.544647,0.262324,-3.961498,-9.661996
14.578203,-2.862370,-3.954016,-10.929472
14.610777,2.523728,-3.792252,-7.534822
14.644667,-0.530185,-0.954423,-8.185020
14.678116,-0.608748,-0.894566,-10.740772
14.710939,-1.076232,-2.347150,-10.343919
14.744390,0.076916,-3.620761,-7.487983
14.778116,1.089101,-5.554297,-8.299347
14.811598,0.104451,-4.732309,-10.924534
14.844829,-0.148147,-2.479434,-9.720207
14.877771,-0.487836,-6.496000,-7.622512
14.911363,3.040745,-4.160523,-5.063019
14.944179,3.677775,-9.836629,-8.012332
14.977457,-0.088738,-6.594316,-5.918678
15.011392,1.566013,-4.968744,-10.182604
15.044361,2.019581,-3.008123,-10.715034
15.078136,0.091881,-0.033071,-11.076870
15.110862,0.419898,-1.628115,-10.478298
15.144281,1.070097,-1.757706,-7.478706
15.178166,0.371563,0.438603,-8.328827
15.210833,0.032622,-1.460814,-13.676767
15.244393,0.385480,-6.052159,-12.077084
15.278115,-0.708559,0.528838,-8.639486
